rid,dateTime,data
rid-98ssd1qqfao,1613513988806,201
rid-8ioq1n00v4o,1613513988806,240
rid-lphtegendi8,1613513989812,284
rid-efm0acjs1v8,1613513989812,294
rid-39s2f3vf6p,1613513989812,372
rid-dg0l42pah3o,1613513989812,284
rid-om5h6pv4ne,1613513989812,293
rid-j0qkgorunfo,1613513990824,202
rid-ht2q79fnlio,1613513990824,215
rid-etochg00a4o,1613513990824,199
rid-uf9ug5udvrg,1613513990824,215
rid-vms6dshm128,1613513990824,205
rid-s8l8bm4231g,1613513991838,173
rid-f49o5j82rgg,1613513991839,201
rid-02sbqdo3tt,1613513991839,191
rid-2f4kdl64hfo,1613513991839,191
rid-gnebubaqjbg,1613513991841,173
rid-1sm9icjiav,1613513992850,245
rid-f2fgvp6ur4,1613513992850,244
rid-jb7kvmnpom8,1613513992850,246
rid-mfjhl8reasg,1613513992850,251
rid-sp65n7m86io,1613513992850,244
rid-qaj6a3gq3mo,1613513993863,195
rid-c654ham0r3o,1613513993863,194
rid-5q8daerp88g,1613513993863,193
rid-98oeg2ikkgo,1613513993863,194
rid-ltmnr5sqsn,1613513993863,196
rid-q08isqkpibg,1613513994864,207
rid-ht66vo300sg,1613513994864,243
rid-4epihueshno,1613513994864,243
rid-vec6lbmeuu,1613513994864,242
rid-bur023pqbrg,1613513994864,242
rid-3l3sasmjv6g,1613513995877,280
rid-1nict7haaso,1613513995877,281
rid-86p258h288o,1613513995877,281
rid-onj0a4r1jog,1613513995878,280
rid-8lba30g5h18,1613513995878,282
rid-cbuorh4qq8o,1613513996890,227
rid-vo3m2safu18,1613513996890,226
rid-qd5jlj9lep8,1613513996890,225
rid-8jk65kq8bvo,1613513996891,227
rid-snlnpp4grpo,1613513996891,226
rid-lejo45a9j4o,1613513997890,213
rid-t8q3ai7hr5g,1613513997890,250
rid-1901l5t739o,1613513997890,250
rid-g6j49gt46p,1613513997892,266
rid-so569muovqo,1613513997893,251
rid-2dj4dqckl8o,1613513998904,230
rid-tnrhkc9mglg,1613513998904,228
rid-6oafr48bnho,1613513998904,226
rid-sq6tsumsl1,1613513998904,228
rid-5gdtru855j,1613513998905,227
rid-574evhlt28,1613513999908,244
rid-lif4akkqtc8,1613513999908,244
rid-242tia56c9o,1613513999908,210
rid-bh353gtr4rg,1613513999908,245
rid-sa8d2nt6vo,1613513999909,245
rid-hslpkovqhd8,1613514000917,231
rid-72r49agqeb8,1613514000917,231
rid-794j66t9dgg,1613514000918,193
rid-vk2evvvn69o,1613514000918,228
rid-l2m15nu3bd,1613514000918,229
rid-2t4pd1e2gao,1613514001931,222
rid-r8omtit9db,1613514001932,204
rid-p0efc2m8q68,1613514001932,210
rid-s7hinpsteg,1613514001932,220
rid-7nq38a0nv8,1613514001932,205
rid-ials57bpcqg,1613514002945,244
rid-u5k1hf3fec,1613514002945,242
rid-td19q482tn8,1613514002945,241
rid-ca4n9sa7v3g,1613514002945,243
rid-k5ugskbd8q8,1613514002945,245
rid-9sjni6d6oj8,1613514003960,222
